"Tenant ID","Site ID","Site name","Site URL","Site template","Primary admin","Primary admin email","External sharing","Site privacy","Site sensitivity","Number of users having access","Guest user permissions","External participant permissionst","Entra group count","File count","Items with unique permissions count","PeopleInYourOrg link count","Anyone link count","EEEU permission count","Everyone permission count","Report date"
"12345678-1234-1234-1234-123456789012","e0e916d2-c173-44b2-a167-c0426016a21f","Shared Dashboard","https://contoso.sharepoint.com/sites/shareddashboard","Team site (no Microsoft 365 group)","Admin User","user716@contoso.com","false","","","57032","0","0","1","45","7","5","0","0","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","9ee5f184-90a8-4d5c-ae87-0574a5b9ca41","Secondary Security","https://contoso.sharepoint.com/sites/secondarysecurity","Team site (no Microsoft 365 group)","Admin User","user716@contoso.com","false","","","57032","0","0","1","41","5","4","0","0","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","fe54486e-6a23-415f-a9a6-905f3d547c01","Primary Forms","https://contoso.sharepoint.com/sites/primaryforms","Team site (no Microsoft 365 group)","Admin User","user927@contoso.com","false","","","57032","0","0","1","23","5","4","0","0","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","90352326-c55c-47c8-b59c-7ed15ac57150","Marketing Forms","https://contoso.sharepoint.com/sites/marketingforms","Team site (no Microsoft 365 group)","Admin User","user716@contoso.com","false","","","57032","0","0","1","18","7","5","0","0","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","9d7b9164-b208-4350-b004-194e3ab6dae2","Operations","https://contoso.sharepoint.com/sites/operations","Team site (no Microsoft 365 group)","Admin User","user716@contoso.com","false","","","57032","0","0","1","129","5","4","0","0","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","8fe8fce1-6c30-48d0-905c-da2b46737daa","Secondary Reports","https://contoso.sharepoint.com/sites/secondaryreports","Team site (no Microsoft 365 group)","Admin User","user716@contoso.com","false","","","57032","0","0","1","27","5","4","0","0","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","4627eaf9-64e0-45da-b36a-df5760861295","Legal Procedures","https://contoso.sharepoint.com/sites/legalprocedures","Team site","Admin User","user121@contoso.com","true","Public","","57032","0","0","6","18","3","2","0","1","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","f7a853bc-582e-4866-b570-4ebf8ba26499","Regional Marketing","https://contoso.sharepoint.com/sites/regionalmarketing","Team site (no Microsoft 365 group)","Admin User","user927@contoso.com","false","","","57032","0","0","1","15","5","4","0","0","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","968e6edb-1492-4702-aae0-239b415b95c1","Planning Team Site","https://contoso.sharepoint.com/sites/planningteamsite","Team site","Admin User","user272@contoso.com","true","Private","","57032","0","0","5","69","20","17","0","2","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","0bb50a26-ba92-4d61-859d-53eabe8fe7e0","Secondary Communications","https://contoso.sharepoint.com/sites/secondarycommunications","Team site (no Microsoft 365 group)","Admin User","user716@contoso.com","false","","","57032","0","0","1","72","6","5","0","0","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","787652ce-cbde-4baa-ab70-15039886af44","Customer Service","https://contoso.sharepoint.com/sites/customerservice","Team site (no Microsoft 365 group)","Admin User","user716@contoso.com","false","","","57032","0","0","1","39","8","7","0","0","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","ca3679c4-e30f-47cb-97dc-4d9e7e97724f","Secondary Best Practices","https://contoso.sharepoint.com/sites/secondarybestpractices","Team site","Admin User","user662@contoso.com","false","Private","","29095","0","0","3","14","2","1","0","0","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","dc936c26-ebe6-4f49-9025-23812b7330ed","Branch Collaboration Space","https://contoso.sharepoint.com/sites/branchcollaborationspace","Team site","Admin User","user834@contoso.com","true","Private","","7436","0","0","9","336","54","47","0","1","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","082380a7-1d14-4e13-bbb2-b74636dbdb67","Unit Finance","https://contoso.sharepoint.com/sites/unitfinance","Classic site","Admin User","user577@contoso.com","true","","","6615","136","0","160","167665","932","632","0","177","1","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","7c9b74a9-065d-42b5-991c-28056c802468","Quality Assurance Templates","https://contoso.sharepoint.com/sites/qualityassurancetemplates","Other site","Admin User","user854@contoso.com","","","","5497","0","0","0","767","136","137","0","0","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","4c45f52a-9314-476a-af90-26748f01bf38","Facilities","https://contoso.sharepoint.com/sites/facilities","Team site","Admin User","user577@contoso.com","true","Private","","4951","0","0","945","155731","374","197","0","159","1","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","fe972fb2-d6c9-4122-81d2-4505cc1873e5","Unit Training","https://contoso.sharepoint.com/sites/unittraining","Classic site","Admin User","user577@contoso.com","false","","","4467","0","0","7","61709","535","284","0","190","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","6cb9c51a-a043-4a6b-aa4e-fcd9e39c0590","Quality Assurance","https://contoso.sharepoint.com/sites/qualityassurance","Team site","Admin User","user721@contoso.com","true","Private","","3724","2","0","3","562","169","147","0","1","0","2025-09-29T02:50:45Z"
"12345678-1234-1234-1234-123456789012","25c731be-bc4c-4825-b724-bb23c93aafe8","Planning","https://contoso.sharepoint.com/sites/planning","Team site","Admin User","user838@contoso.com","true","Private","","3333","0","0","3","26","0","0","0","0","0","2025-09-29T02:50:45Z"
